folder	file	line	flags	法人番号	会社名
unit_million	111.fixed.csv	135	corporate_number_invalid_shape	6.05E+12	株式会社バンビック
unit_million	111.fixed.csv	136	corporate_number_invalid_shape	6.05E+12	株式会社シンドウ
unit_million	111.fixed.csv	137	corporate_number_invalid_shape	5.05E+12	高塚建設工業株式会社
unit_million	111.fixed.csv	138	corporate_number_invalid_shape	7.05E+12	株式会社新みらい
unit_million	111.fixed.csv	139	corporate_number_invalid_shape	3.05E+12	株式会社浅川建設
unit_million	111.fixed.csv	140	corporate_number_invalid_shape	6.05E+12	株式会社爆発研究所
unit_million	111.fixed.csv	141	corporate_number_invalid_shape	2.05E+12	株式会社フロムダブリュー
unit_million	111.fixed.csv	142	corporate_number_invalid_shape	1.05E+12	株式会社阿久津工務店
unit_million	111.fixed.csv	143	corporate_number_invalid_shape	6.05E+12	筑波エンジニアリング株式会社
unit_million	111.fixed.csv	144	corporate_number_invalid_shape	6.05E+12	松本産業株式会社
unit_million	111.fixed.csv	145	corporate_number_invalid_shape	4.05E+12	株式会社那珂ハウジング
unit_million	111.fixed.csv	146	corporate_number_invalid_shape	4.05E+12	野内商事株式会社
unit_million	111.fixed.csv	147	corporate_number_invalid_shape	3.05E+12	株式会社カワサキフィールドサービス
unit_million	111.fixed.csv	148	corporate_number_invalid_shape	5.05E+12	有限会社アルドゥール
unit_million	111.fixed.csv	149	corporate_number_invalid_shape	5.05E+12	有限会社龍ヶ崎鐵巧
unit_million	111.fixed.csv	150	corporate_number_invalid_shape	6.05E+12	有限会社早川金属工業
unit_million	111.fixed.csv	151	corporate_number_invalid_shape	2.05E+12	株式会社伊東建設
unit_million	111.fixed.csv	152	corporate_number_invalid_shape	2.05E+12	株式会社匠エンジニアリング
unit_million	111.fixed.csv	153	corporate_number_invalid_shape	9.05E+12	株式会社シマムラ工業
unit_million	111.fixed.csv	154	corporate_number_invalid_shape	9.05E+12	藤崎建設工業株式会社
unit_million	111.fixed.csv	155	corporate_number_invalid_shape	3.05E+12	大増石商有限会社
unit_million	111.fixed.csv	156	corporate_number_invalid_shape	4.05E+12	株式会社ジェネシス
unit_million	111.fixed.csv	157	corporate_number_invalid_shape	8.05E+12	常栄エンジニアリング株式会社
unit_million	111.fixed.csv	158	corporate_number_invalid_shape	6.05E+12	増川建設株式会社
unit_million	111.fixed.csv	159	corporate_number_invalid_shape	5.05E+12	株式会社飯田製作所
unit_million	111.fixed.csv	160	corporate_number_invalid_shape	3.05E+12	株式会社鉾田クレーン工事
unit_million	111.fixed.csv	161	corporate_number_invalid_shape	6.05E+12	株式会社瀧工務店
unit_million	111.fixed.csv	162	corporate_number_invalid_shape	2.05E+12	株式会社梅原工務店
unit_million	111.fixed.csv	163	corporate_number_invalid_shape	3.05E+12	有限会社小山トレイディングカンパニー
unit_million	111.fixed.csv	164	corporate_number_invalid_shape	4.05E+12	有限会社大内設備工業所
unit_million	111.fixed.csv	165	corporate_number_invalid_shape	8.05E+12	株式会社ワイズアンドテクノロジー
unit_million	111.fixed.csv	166	corporate_number_invalid_shape	5.05E+12	有限会社アグリクリエイト
unit_million	111.fixed.csv	167	corporate_number_invalid_shape	9.05E+12	有限会社自然と住まい研究所
unit_million	111.fixed.csv	168	corporate_number_invalid_shape	9.05E+12	有限会社坂本建美装
unit_million	111.fixed.csv	169	corporate_number_invalid_shape	4.03E+12	宮田空調株式会社
unit_million	111.fixed.csv	170	corporate_number_invalid_shape	3.01E+12	株式会社ゆうインタークロス
unit_million	111.fixed.csv	171	corporate_number_invalid_shape	8.05E+12	株式会社黒田米穀
unit_million	111.fixed.csv	172	corporate_number_invalid_shape	5.05E+12	日東商事株式会社
unit_million	111.fixed.csv	173	corporate_number_invalid_shape	9.05E+12	有限会社甲州屋
unit_million	111.fixed.csv	174	corporate_number_invalid_shape	3.05E+12	株式会社AGRICARE
unit_million	111.fixed.csv	175	corporate_number_invalid_shape	3.05E+12	株式会社壁工房
unit_million	111.fixed.csv	176	corporate_number_invalid_shape	3.05E+12	有限会社赤荻製作所
unit_million	111.fixed.csv	177	corporate_number_invalid_shape	7.05E+12	柿沼製粉株式会社
unit_million	111.fixed.csv	178	corporate_number_invalid_shape	2.05E+12	栗山工業株式会社
unit_million	111.fixed.csv	179	corporate_number_invalid_shape	2.05E+12	株式会社サン薬局
unit_million	111.fixed.csv	180	corporate_number_invalid_shape	8.05E+12	株式会社オスク
unit_million	111.fixed.csv	181	corporate_number_invalid_shape	8.05E+12	有限会社ヒ・コ
unit_million	111.fixed.csv	182	corporate_number_invalid_shape	8.05E+12	株式会社ティーエージー
unit_million	111.fixed.csv	183	corporate_number_invalid_shape	5.05E+12	株式会社ティック
unit_million	111.fixed.csv	184	corporate_number_invalid_shape	3.05E+12	株式会社イセキヤ工務店
unit_million	111.fixed.csv	185	corporate_number_invalid_shape	5.05E+12	株式会社藤代範雄デザイン事務所
unit_million	111.fixed.csv	186	corporate_number_invalid_shape	7.05E+12	協和電子株式会社
unit_million	111.fixed.csv	187	corporate_number_invalid_shape	4.05E+12	株式会社高須工務店
unit_million	111.fixed.csv	188	corporate_number_invalid_shape	9.05E+12	株式会社伊藤米穀
unit_million	111.fixed.csv	189	corporate_number_invalid_shape	6.05E+12	株式会社ノナカ住資
unit_million	111.fixed.csv	190	corporate_number_invalid_shape	2.05E+12	稲敷設備工業株式会社
unit_million	111.fixed.csv	191	corporate_number_invalid_shape	3.05E+12	有限会社アクト農場
unit_million	111.fixed.csv	192	corporate_number_invalid_shape	9.05E+12	株式会社和田瓦工業
unit_million	111.fixed.csv	193	corporate_number_invalid_shape	2.05E+12	株式会社冨田農園
unit_million	111.fixed.csv	194	corporate_number_invalid_shape	4.05E+12	株式会社内藤工務店
unit_million	111.fixed.csv	195	corporate_number_invalid_shape	8.05E+12	ヒラデ・スタイル株式会社
unit_million	111.fixed.csv	196	corporate_number_invalid_shape	5.05E+12	有限会社シャリー
unit_million	111.fixed.csv	197	corporate_number_invalid_shape	2.05E+12	株式会社クマモト
unit_million	111.fixed.csv	198	corporate_number_invalid_shape	9.05E+12	株式会社みらい平ハウジング
unit_million	111.fixed.csv	199	corporate_number_invalid_shape	2.05E+12	株式会社笹光建設
unit_million	111.fixed.csv	200	corporate_number_invalid_shape	8.05E+12	株式会社神永工務店
unit_million	111.fixed.csv	201	corporate_number_invalid_shape	2.05E+12	大隅物流有限会社
unit_million	111.fixed.csv	202	corporate_number_invalid_shape	2.05E+12	東成プランニング株式会社
unit_million	111.fixed.csv	203	corporate_number_invalid_shape	2.05E+12	有限会社鬼澤商事
unit_million	111.fixed.csv	204	corporate_number_invalid_shape	6.05E+12	株式会社高橋合金
unit_million	111.fixed.csv	205	corporate_number_invalid_shape	8.05E+12	株式会社松浦工務店
unit_million	111.fixed.csv	206	corporate_number_invalid_shape	6.05E+12	株式会社田口工務店
unit_million	111.fixed.csv	207	corporate_number_invalid_shape	3.05E+12	株式会社十七屋自動車
unit_million	111.fixed.csv	208	corporate_number_invalid_shape	3.05E+12	丸和建設株式会社
unit_million	111.fixed.csv	209	corporate_number_invalid_shape	2.05E+12	株式会社DKS
unit_million	111.fixed.csv	210	corporate_number_invalid_shape	8.05E+12	株式会社せいみや
unit_million	111.fixed.csv	211	corporate_number_invalid_shape	7.05E+12	株式会社youing
unit_million	111.fixed.csv	212	corporate_number_invalid_shape	1.05E+12	有限会社光自動車販売
unit_million	111.fixed.csv	213	corporate_number_invalid_shape	1.19E+12	KyoudouProject株式会社
unit_million	111.fixed.csv	214	corporate_number_invalid_shape	8.05E+12	株式会社建晄
unit_million	111.fixed.csv	215	corporate_number_invalid_shape	3.05E+12	日高見建設工業株式会社
unit_million	111.fixed.csv	216	corporate_number_invalid_shape	8.05E+12	株式会社椎名工務店
unit_million	111.fixed.csv	217	corporate_number_invalid_shape	2.05E+12	株式会社小薗建設
unit_million	111.fixed.csv	218	corporate_number_invalid_shape	2.05E+12	株式会社いずみや
unit_million	111.fixed.csv	219	corporate_number_invalid_shape	2.05E+12	株式会社源之丞
unit_million	111.fixed.csv	220	corporate_number_invalid_shape	4.05E+12	株式会社五建興業
unit_million	111.fixed.csv	221	corporate_number_invalid_shape	9.01E+12	株式会社成田産業
unit_million	111.fixed.csv	222	corporate_number_invalid_shape	1.05E+12	有限会社常陸牧場
unit_million	111.fixed.csv	223	corporate_number_invalid_shape	7.05E+12	株式会社カーショップドンキー
unit_million	111.fixed.csv	224	corporate_number_invalid_shape	6.36E+12	沖縄美装管理株式会社
unit_million	111.fixed.csv	225	corporate_number_invalid_shape	6.05E+12	有限会社ウッドゆう建築事務所
unit_million	111.fixed.csv	226	corporate_number_invalid_shape	6.05E+12	株式会社八丈建設
unit_million	111.fixed.csv	227	corporate_number_invalid_shape	5.05E+12	エム・ランド建設株式会社
unit_million	111.fixed.csv	228	corporate_number_invalid_shape	7.05E+12	有限会社リセットサービス
unit_million	111.fixed.csv	229	corporate_number_invalid_shape	9.36E+12	託一株式会社
unit_million	111.fixed.csv	230	corporate_number_invalid_shape	8.05E+12	有限会社茨城農材鉾田
unit_million	111.fixed.csv	231	corporate_number_invalid_shape	9.05E+12	株式会社モチマル
unit_million	111.fixed.csv	232	corporate_number_invalid_shape	7.05E+12	株式会社せきなが
unit_million	111.fixed.csv	233	corporate_number_invalid_shape	9.36E+12	ホテルリゾネックス名護株式会社
unit_million	111.fixed.csv	234	corporate_number_invalid_shape	3.36E+12	中部興産株式会社
unit_million	111.fixed.csv	235	corporate_number_invalid_shape	1.36E+12	株式会社新洋
unit_million	111.fixed.csv	236	corporate_number_invalid_shape	2.36E+12	有限会社グリーンフィールド
unit_million	111.fixed.csv	237	corporate_number_invalid_shape	9.36E+12	株式会社丸政工務店
unit_million	111.fixed.csv	238	corporate_number_invalid_shape	4.05E+12	有限会社佐久間製材所
unit_million	111.fixed.csv	239	corporate_number_invalid_shape	2.05E+12	有限会社はしもと
unit_million	111.fixed.csv	240	corporate_number_invalid_shape	8.36E+12	株式会社おきなわ屋
unit_million	111.fixed.csv	241	corporate_number_invalid_shape	1.36E+12	琉球ミート株式会社
unit_million	111.fixed.csv	242	corporate_number_invalid_shape	4.36E+12	光通信工業株式会社
unit_million	111.fixed.csv	243	corporate_number_invalid_shape	3.05E+12	株式会社羽原工務店
unit_million	111.fixed.csv	244	corporate_number_invalid_shape	9.05E+12	株式会社エイブルコーポレーション
unit_million	111.fixed.csv	245	corporate_number_invalid_shape	6.36E+12	株式会社創信
unit_million	111.fixed.csv	246	corporate_number_invalid_shape	9.36E+12	琉球建設コンサルタント株式会社
unit_million	111.fixed.csv	247	corporate_number_invalid_shape	6.05E+12	メンブレンエンジニアリング株式会社
unit_million	111.fixed.csv	248	corporate_number_invalid_shape	9.05E+12	河村電気工事株式会社
unit_million	111.fixed.csv	249	corporate_number_invalid_shape	3.05E+12	株式会社トリンブルパートナーズ茨城
unit_million	111.fixed.csv	250	corporate_number_invalid_shape	6.05E+12	株式会社藤井商店
unit_million	111.fixed.csv	251	corporate_number_invalid_shape	9.05E+12	株式会社フルウチ
unit_million	111.fixed.csv	252	corporate_number_invalid_shape	1.05E+12	株式会社立花商会
unit_million	111.fixed.csv	253	corporate_number_invalid_shape	6.05E+12	株式会社藤崎工業
unit_million	111.fixed.csv	254	corporate_number_invalid_shape	9.36E+12	株式会社長嶺産業
unit_million	111.fixed.csv	255	corporate_number_invalid_shape	4.05E+12	牛久産機有限会社
unit_million	111.fixed.csv	256	corporate_number_invalid_shape	1.05E+12	株式会社日乃本米菓製造
unit_million	111.fixed.csv	257	corporate_number_invalid_shape	3.05E+12	株式会社前川林業
unit_million	111.fixed.csv	258	corporate_number_invalid_shape	2.05E+12	日立綜合防災株式会社
unit_million	111.fixed.csv	259	corporate_number_invalid_shape	4.05E+12	株式会社HYK
unit_million	111.fixed.csv	260	corporate_number_invalid_shape	6.36E+12	有限会社気流
unit_million	111.fixed.csv	261	corporate_number_invalid_shape	3.05E+12	株式会社平川建設
unit_million	111.fixed.csv	262	corporate_number_invalid_shape	1.36E+12	株式会社タマイチ
unit_million	111.fixed.csv	263	corporate_number_invalid_shape	8.36E+12	株式会社沖繩神洋ペイント
unit_million	111.fixed.csv	264	corporate_number_invalid_shape	4.36E+12	有限会社しろま製菓産業
unit_million	111.fixed.csv	265	corporate_number_invalid_shape	4.05E+12	株式会社平沼電設
unit_million	111.fixed.csv	266	corporate_number_invalid_shape	6.05E+12	内堀建設株式会社
unit_million	111.fixed.csv	267	corporate_number_invalid_shape	3.36E+12	株式会社エッジ
unit_million	111.fixed.csv	268	corporate_number_invalid_shape	9.05E+12	寺崎ゴム工業株式会社
unit_million	111.fixed.csv	269	corporate_number_invalid_shape	2.05E+12	株式会社茂木工務店
unit_million	111.fixed.csv	270	corporate_number_invalid_shape	2.05E+12	株式会社佐久商店
unit_million	111.fixed.csv	271	corporate_number_invalid_shape	5.05E+12	株式会社堀石材工業
unit_million	111.fixed.csv	272	corporate_number_invalid_shape	8.05E+12	株式会社十和観光
unit_million	111.fixed.csv	273	corporate_number_invalid_shape	9.05E+12	株式会社昌栄
unit_million	111.fixed.csv	274	corporate_number_invalid_shape	4.05E+12	株式会社靖光
unit_million	111.fixed.csv	275	corporate_number_invalid_shape	9.05E+12	有限会社アトリエエム
unit_million	111.fixed.csv	276	corporate_number_invalid_shape	5.05E+12	株式会社堀江林業
unit_million	111.fixed.csv	277	corporate_number_invalid_shape	2.05E+12	TCユニオン株式会社
unit_million	111.fixed.csv	278	corporate_number_invalid_shape	8.36E+12	株式会社さくらエステート
unit_million	111.fixed.csv	279	corporate_number_invalid_shape	4.05E+12	株式会社ユニオングローバルソリューション
unit_million	111.fixed.csv	280	corporate_number_invalid_shape	2.05E+12	フジネットワークス株式会社
unit_million	111.fixed.csv	281	corporate_number_invalid_shape	2.05E+12	ハナキゴム株式会社
unit_million	111.fixed.csv	282	corporate_number_invalid_shape	5.05E+12	株式会社W&Lユニオン
unit_million	111.fixed.csv	283	corporate_number_invalid_shape	5.05E+12	池辺石油ガス株式会社
unit_million	111.fixed.csv	284	corporate_number_invalid_shape	8.05E+12	株式会社大樹
unit_million	111.fixed.csv	285	corporate_number_invalid_shape	4.05E+12	桂建設株式会社
unit_million	111.fixed.csv	286	corporate_number_invalid_shape	5.05E+12	有限会社飯田屋商店
unit_million	111.fixed.csv	287	corporate_number_invalid_shape	1.01E+12	株式会社ネットロジスティクス
unit_million	111.fixed.csv	288	corporate_number_invalid_shape	8.05E+12	株式会社米川商事
unit_million	111.fixed.csv	289	corporate_number_invalid_shape	6.36E+12	有限会社デジタルマックス
unit_million	111.fixed.csv	290	corporate_number_invalid_shape	9.36E+12	アイワ企画株式会社
unit_million	111.fixed.csv	291	corporate_number_invalid_shape	1.05E+12	椿山林産有限会社
unit_million	111.fixed.csv	292	corporate_number_invalid_shape	8.05E+12	有限会社想作家
unit_million	111.fixed.csv	293	corporate_number_invalid_shape	7.05E+12	株式会社中井工務店
unit_million	111.fixed.csv	294	corporate_number_invalid_shape	4.05E+12	ILS株式会社
unit_million	111.fixed.csv	295	corporate_number_invalid_shape	1.05E+12	常陸大理石株式会社
unit_million	111.fixed.csv	296	corporate_number_invalid_shape	5.05E+12	羽黒石材工業株式会社
